sdc_dealno,date,targetName,acquirorName,URL_found,IdentifiableIntangibleassetsI,Goodwill,totalDealValueFromFiling,TotalIIAifreportedasaggreg,InProcessRD,valuePatents,TrademarksTradenamesBrand,Technology,Workforce,Noncompeteagreements,MaintenanceSupportContracts,CustomerRelationshipscontract,Contractcontractualrights,Cashacquired,Backlog,IntellectualProperty,RoyaltyAgreement,Other,tgt_cik,origACQcik,acq_cik,acq_cik2,acq_cik3,acq_cik4,acq_cik5,RA,Notes,source,url10s_1,TargetCIK,AcquirerCIK,yearDeal,TargetIndustryGroup,AcquirorSICcode,ofOther,ofUnknown,bothGW_IIA_missing,fromRecent,hand_IIA,hand_GW,handChecked_2018
1809158,3/6/2007,Traffic.com Inc,NAVTEQ Corp,https://www.sec.gov/Archives/edgar/data/834208/000110465907081558/a07-25729_110q.htm,41.505,101.463,186.539,,0,0,11.011,0,0,0,0,22.568,0,0,0,0,0,7926000,,,0000834208,,,,,Allah,,Post2002collect,,,,2007,Services,7372,,,0,1,,,0
1809193,1/26/2007,Per-Se Technologies Inc,McKesson Corp,https://www.sec.gov/Archives/edgar/data/927653/000095013407010894/f29988e10vk.htm,464,1228,1736,,0,0,0,56,0,0,0,408,0,0,0,0,0,0,,0000927653,0000927653,,,,,Lincel,,Post2002collect,,,,2007,Manufacturing,5122,,,0,1,,,0
1809203,1/5/2007,PortalPlayer Inc,NVIDIA Corp,https://www.sec.gov/Archives/edgar/data/1045810/000104581007000008/fy2007annualreportonform10-k.htm,25,114.816,347.844,,13.4,0,0,8.9,0,0,0,2.7,0,0,0,0,0,0,,0001045810,0001045810,,,,,Lincel,,Post2002collect,,,,2007,Manufacturing,3674,,,0,1,,,0
1810232,1/25/2007,Essex Corp,Northrop Grumman Corp,https://www.sec.gov/Archives/edgar/data/1133421/000095013407008861/v29442e10vq.htm,66,0,578,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0001133421,0001133421,,,,,Lincel,,Post2002collect,,,,2007,Services,3812,,,0,1,,,0
1810645,8/2/2007,Tanox Inc,Genentech Inc,https://www.sec.gov/Archives/edgar/data/318771/000031877107000022/dna-10q_0307.htm,891,259,933,,77,0,0,814,0,0,0,0,0,100000000,0,0,0,0,,,0000318771,,,,,Allah,,Post2002collect,,,,2007,Manufacturing,2836,,,0,1,,,0
1811596,1/26/2007,Solexa Inc,Illumina Inc,https://www.sec.gov/Archives/edgar/data/1110803/000093639207000368/a29658e10vq.htm,327.8,246.418,618.485,,303.4,0,0,23.5,0,0,0,.9,0,0,0,0,0,0,,,0001110803,,,,,Allah,,Post2002collect,,,,2007,Services,3826,,,0,1,,,0
1811697,2/13/2007,Golf Galaxy Inc,Dick's Sporting Goods Inc,https://www.sec.gov/Archives/edgar/data/1089063/000095015207004938/l25714ae10vq.htm,0,163.21,229.531,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0001089063,0001089063,,,,,Lincel,,Post2002collect,,,,2007,Trade,5941,,,0,1,,,0
1811969,2/7/2007,Netopia Inc,Motorola Inc,https://www.sec.gov/Archives/edgar/data/68505/000095013707006995/c14204e10vq.htm,100,120,183,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0000068505,0000068505,,,,,Lincel,,Post2002collect,,,,2007,Services,3663,,,0,1,,,0
1813328,2/1/2007,Conor Medsystems Inc,Johnson & Johnson,https://www.sec.gov/Archives/edgar/data/200406/000020040607000076/tenq.txt,807,0,1400,,807,0,0,0,0,0,0,0,0,0,0,0,0,0,,0000200406,0000200406,,,,,Lincel,,Post2002collect,,,,2007,Manufacturing,2834,,,0,1,,,0
1815975,1/29/2007,Rita Medical Systems Inc,AngioDynamics Inc,https://www.sec.gov/Archives/edgar/data/1275187/000119312507079424/d10q.htm,55,169.626,242.892,,12.1,0,.6,13.9,0,0,0,27.5,0,0,0,0,0,900000,,,0001275187,,,,,Allah,,Post2002collect,,,,2007,Manufacturing,3845,,,0,1,,,0
1816844,2/7/2007,Digital Insight Corp,Intuit Inc,https://www.sec.gov/Archives/edgar/data/896878/000095013407012588/f30406e10vq.htm,291.5,1013.313,1344.427,,0,0,10,134.8,0,.7,0,146,0,0,0,0,0,0,,0000896878,0000896878,,,,,Lincel,,Post2002collect,,,,2007,Services,7372,,,0,1,,,0
1817674,4/2/2007,Agere Systems Inc,LSI Logic Corp,https://www.sec.gov/Archives/edgar/data/703360/000095013407017913/f32660e10vq.htm,2444.24,1584.251,3720.149,,176.4,317.2,0,844.5,0,0,0,513,0,540140000,53,0,0,0,,0000703360,0000703360,,,,,Lincel,,Post2002collect,,,,2007,Manufacturing,3674,,,0,1,,,0
1820031,2/16/2007,At Road Inc,Trimble Navigation Ltd,https://www.sec.gov/Archives/edgar/data/864749/000114036107009402/form10-q.htm,149.2,262.574,494.417,,2.1,0,5.2,66.59999999999999,0,0,0,75.3,0,0,0,0,0,0,,,0000864749,,,,,Allah,,Post2002collect,,,,2007,Manufacturing,3829,,,0,1,,,0
1820557,4/17/2007,Valera Pharmaceuticals Inc,Indevus Pharmaceuticals Inc,https://www.sec.gov/Archives/edgar/data/854222/000119312507177622/d10q.htm,80.09999999999999,48.687,145.309,,50,0,0,30.1,0,0,0,0,0,0,0,0,0,0,,,0000854222,,,,,Allah,,Post2002collect,,,,2007,Manufacturing,2834,29.53,,0,1,,,0
1823672,5/1/2007,John H Harland Co,M&F Worldwide Corp,https://www.sec.gov/Archives/edgar/data/945235/000095013607005505/file1.htm#page4,833.7,998.5,1465.2,,0,12.2,114.7,0,0,0,0,636.7,0,23800000,0,0,0,70100000,,,0000945235,,,,,Allah,,Post2002collect,,,,2007,Manufacturing,8742,,,0,1,,,0
1824102,6/1/2007,Horizon Health Corp,Psychiatric Solutions Inc,https://www.sec.gov/Archives/edgar/data/829608/000095014407007339/g08675e10vq.htm,27.2,284.446,433.7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0000829608,0000829608,,,,,Lincel,,Post2002collect,,,,2007,Services,8063,25.09,,1,1,27.2,284.446,1
1824340,3/30/2007,Tut Systems Inc,Motorola Inc,https://www.sec.gov/Archives/edgar/data/68505/000095013707006995/c14204e10vq.htm,400,0,4600,,0,0,0,0,0,0,0,0,0,400000000,0,0,0,0,,0000068505,0000068505,,,,,Lincel,,Post2002collect,,,,2007,Manufacturing,3663,,,0,1,,,0
1825404,3/7/2007,Cadmus Communications Corp,Cenveo Inc,https://www.sec.gov/Archives/edgar/data/920321/000106880007001259/edgarcenveo10q.txt,112.7,241.726,248.962,,0,0,48,0,0,0,0,64.7,0,0,0,0,0,0,,0000920321,0000920321,,,,,Lincel,,Post2002collect,,,,2007,Services,2752,44.56,,0,1,,,0
1826878,4/3/2007,Carreker Corp,CheckFree Corp,https://www.sec.gov/Archives/edgar/data/949341/000095014407008168/g09158e10vk.htm,52.8,105.8,206.312,,0,0,1.6,19.9,0,0,0,31.3,0,0,0,0,0,0,,,0000949341,,,,,Alexey,,Post2002collect,,,,2007,Services,7375,,100,0,1,,,0
